# name	description	neuron indices
paper_sugar_GRN_a	Labellar sugar GRNs, figures.ipynb neu_sugar (Fig 1)	12494,14842,28825,29281,32863,49584,51107,69093,90589,92298,97602,100605,108426,110469,111357,122795,124291,126600,126873,129730
paper_sugar_GRN_b	Labellar sugar GRNs, other hemisphere (Fig S1)	3884,5811,26362,30721,42795,44287,93297,101526,102495
paper_water_GRN	Labellar water GRNs (Fig 4)	2619,14555,15819,18488,19025,26395,32544,55345,57581,70391,73596,95606,99224,105995,116079,117123,133759,138363
paper_bitter_GRN	Labellar bitter GRNs (Fig 3)	55,446,8842,9255,9258,16201,19845,29627,37530,38209,46787,51269,54260,75720,83255,83832,92115,97406,134614,134999
paper_ir94e_GRN	Labellar Ir94e GRNs (Fig 3)	9661,15688,19625,19812,22602,23293,38877,48865,64253,67205,74437,75507,81394,86800,90480,92462,102121,124326
paper_JON_CE	Johnston's organ neurons C/E (Fig 5)	49,66,77,920,6375,7599,7625,8429,10447,12229,18959,19124,19201,19544,20105,20353,25076,25186,25686,27831,29090,35240,35794,36139,38739,43215,49000,49259,50335,50958,55127,57772,59929,68166,68812,72051,73243,74128,74572,77088,80367,83296,85309,86258,88320,91256,91499,91669,92075,94611,96531,96750,96791,96822,97035,98069,99271,105858,108537,109942,111395,115657,121661,122444,122960,125318,125358,131155,136754
paper_JON_F	Johnston's organ neurons F (Fig 5)	580,1162,2963,2985,3218,3505,3614,3883,5802,7610,7627,8417,16080,16338,19103,22052,23969,27901,30225,31206,36961,47294,49692,49743,53546,53798,53832,58627,62604,65143,65647,69833,72108,72778,72921,73070,73717,73886,79383,82970,83904,84893,86256,87795,89427,91030,92729,93288,93907,94934,102619,112223,116398,119292,122339,125001,127035,129629,131679,135900
paper_JON_D_m	Johnston's organ neurons D/m (Fig 5)	25975,37781,48347,57514,77055,82784,91255,92093,100825,102227,116769,118120,128160,130702,134599,137202
paper_MN9	MN9, proboscis motor neuron (Fig 1)	138332
paper_aDN1	aDN1, antennal grooming descending neuron (Fig 5)	26421
paper_aDN2	aDN2, antennal grooming descending neuron (Fig S4)	95375
paper_aBN1	aBN1, antennal grooming brain neuron (Fig 5)	101179
